|Node|Directory Number|Registration Status|Subscriber Type|Supplementary Service Set
|1000|02-4562001|Not registered (on 'UC-MAD')|Public|Comfort SIP
|1000|02-4562002|Not registered (on 'UC-MAD')|Public|Comfort SIP
|1000|02-4562003|Not registered (on 'UC-MAD')|Public|Comfort SIP
|1000|02-4562004|Not registered (on 'UC-MAD')|Public|Comfort SIP
|1000|02-4567000|Not registered (on 'UC-MAD')|Centrex|yealink_SS
|1000|02-4567001|Not registered (on 'UC-MAD')|Centrex|yealink_SS
|1000|02-4567002|Not registered (on 'UC-MAD')|Centrex|yealink_SS
|1000|02-4567003|Not registered (on 'UC-MAD')|Centrex|yealink_SS
|1000|02-4567004|Not registered (on 'UC-MAD')|Centrex|yealink_SS
|1000|02-4567005|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-4567006|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6220032|Not registered|Public|Abonado P_SIP
|1000|02-6220033|Not registered|Public|Abonado P_SIP
|1000|02-6220034|Not registered|Public|Abonado P_SIP
|1000|02-6220035|Not registered|Public|Abonado P_SIP
|1000|02-6220036|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6220037|Not registered|Public|Abonado P_SIP
|1000|02-6220101|Not registered|Public|Abonado Prueba
|1000|02-6220102|Not registered|Public|Abonado Prueba
|1000|02-6220103|Not registered|Public|Abonado Prueba
|1000|02-6221002|Registered from 10.50.10.79|Public|Abonado Comun
|1000|02-6221006|Registered from 10.50.13.145|Public|BLOQUEO LD
|1000|02-6221009|Registered from 10.50.14.165|Public|BLOQUEO LD
|1000|02-6221016|Registered from 10.50.15.180|Public|BLOQUEO LD
|1000|02-6221018|Registered from 10.50.15.220|Public|Abonado Comun
|1000|02-6221020|Registered from 10.50.11.143|Public|Custom
|1000|02-6221021|Not registered|Public|Custom
|1000|02-6221141|Registered from 10.50.14.80|Public|BLOQUEO LD
|1000|02-6221197|Registered from 10.50.14.44|Public|BLOQUEO LD
|1000|02-6221206|Not registered|Public|Abonado Comun
|1000|02-6221349|Registered from 10.50.10.143|Public|Abonado Comun
|1000|02-6221372|Registered from 10.50.15.183|Public|BLOQUEO LD
|1000|02-6221503|Registered from 10.50.11.239|Public|BLOQUEO LD
|1000|02-6221762|Registered from 10.50.10.108|Public|Abonado Comun
|1000|02-6222009|Not registered|Public|BLOQUEO LD
|1000|02-6222016|Not registered (on 'UC-MAD')|Public|advancedSSS_3
